,Himmelblau_solution_0,Himmelblau_solution_1,Himmelblau_solution_2,Himmelblau_solution_3,Himmelblau_solution_4,Himmelblau_solution_5,Himmelblau_solution_6,Himmelblau_solution_7,Himmelblau_solution_8,Himmelblau_solution_9,Himmelblau_solution_10,Himmelblau_solution_11,Himmelblau_solution_12,Himmelblau_solution_13,Himmelblau_solution_14,Himmelblau_solution_15,Himmelblau_solution_16,Himmelblau_solution_17,Himmelblau_solution_18,Himmelblau_solution_19,Himmelblau_solution_20,Himmelblau_solution_21,Himmelblau_solution_22,Himmelblau_solution_23,Himmelblau_solution_24,Himmelblau_solution_25,Himmelblau_solution_26,Himmelblau_solution_27,Himmelblau_solution_28,Himmelblau_solution_29
20,-30317.258789820837,-30351.450873283226,-29620.14141403477,-30132.195572639568,-29829.401045595674,-29730.588224284063,-30382.519263948998,-29542.373433079847,-29699.50781798688,-29871.42188698316,-30035.389546238934,-30411.81561508228,-30080.99132811759,-30013.65527416031,-30059.905868479786,-29929.41667022002,-30267.799350716592,-30436.512412191158,-30160.846946879596,-29760.63402493408,-29802.24556665925,-30313.49227861329,-30340.813161895283,-29768.863077196307,-29797.446850149365,-30286.949057334576,-30482.495142637592,-30408.62276728973,-29518.357847318104,-29690.129766358117
21,-30317.258789820837,-30351.450873283226,-29687.608721051754,-30335.251673380117,-29829.401045595674,-29730.588224284063,-30394.54572892567,-29542.373433079847,-29699.50781798688,-29978.49986065823,-30035.389546238934,-30411.81561508228,-30080.99132811759,-30013.65527416031,-30059.905868479786,-29929.41667022002,-30273.851588091344,-30436.512412191158,-30160.846946879596,-29760.63402493408,-29820.22117968976,-30313.49227861329,-30403.639293223867,-29768.863077196307,-29797.446850149365,-30287.429541871345,-30482.495142637592,-30425.168559646903,-29518.357847318104,-29690.129766358117
22,-30345.256208868224,-30351.450873283226,-29687.608721051754,-30335.251673380117,-29829.401045595674,-29750.5122815278,-30394.54572892567,-29542.373433079847,-30167.18853757668,-29978.49986065823,-30035.389546238934,-30411.81561508228,-30080.99132811759,-30043.86219153396,-30059.905868479786,-29929.41667022002,-30273.851588091344,-30436.512412191158,-30160.846946879596,-29761.39468568941,-29820.22117968976,-30313.49227861329,-30403.639293223867,-29768.863077196307,-29797.446850149365,-30318.289544418018,-30526.861822551946,-30425.168559646903,-29518.357847318104,-29690.129766358117
23,-30345.256208868224,-30351.450873283226,-29816.33637263241,-30335.251673380117,-29829.401045595674,-29750.5122815278,-30394.54572892567,-29542.373433079847,-30167.18853757668,-30181.90946520192,-30161.920661542008,-30411.81561508228,-30080.99132811759,-30156.511595261774,-30059.905868479786,-29929.41667022002,-30273.851588091344,-30476.598222059492,-30160.846946879596,-29761.39468568941,-29820.22117968976,-30313.49227861329,-30403.639293223867,-29768.863077196307,-29797.446850149365,-30350.22398841597,-30526.861822551946,-30425.168559646903,-29518.357847318104,-29690.129766358117
24,-30345.256208868224,-30351.450873283226,-29816.33637263241,-30335.251673380117,-29829.401045595674,-29750.5122815278,-30394.54572892567,-29552.779052808797,-30167.18853757668,-30181.90946520192,-30249.81269442332,-30414.363346007813,-30080.99132811759,-30156.511595261774,-30059.905868479786,-30063.911372111656,-30273.851588091344,-30476.598222059492,-30160.846946879596,-29791.413462138673,-29820.22117968976,-30313.49227861329,-30403.639293223867,-29768.863077196307,-29797.446850149365,-30418.41921986149,-30526.861822551946,-30465.549605262953,-29518.357847318104,-29690.129766358117
25,-30345.256208868224,-30351.450873283226,-29816.33637263241,-30335.251673380117,-29829.401045595674,-29750.5122815278,-30394.54572892567,-29552.779052808797,-30167.18853757668,-30181.90946520192,-30249.81269442332,-30414.363346007813,-30115.13100362978,-30156.511595261774,-30059.905868479786,-30063.911372111656,-30273.851588091344,-30476.598222059492,-30193.879767473787,-29791.413462138673,-29820.22117968976,-30313.49227861329,-30403.639293223867,-29794.997196477343,-29797.446850149365,-30418.41921986149,-30526.861822551946,-30470.078579157987,-29630.130973066814,-29713.010935267608
26,-30345.256208868224,-30351.450873283226,-29816.33637263241,-30335.251673380117,-29829.401045595674,-29750.5122815278,-30394.54572892567,-29561.567430642623,-30167.18853757668,-30181.90946520192,-30378.335027793877,-30414.363346007813,-30115.13100362978,-30156.511595261774,-30139.363428202814,-30165.60080118762,-30273.851588091344,-30477.043527845482,-30193.879767473787,-30007.71476986941,-29820.22117968976,-30313.49227861329,-30403.639293223867,-29966.015299747036,-29797.446850149365,-30418.41921986149,-30526.861822551946,-30470.078579157987,-29630.130973066814,-29713.010935267608
27,-30345.256208868224,-30390.49431474674,-29816.33637263241,-30335.251673380117,-29951.427751912524,-29750.5122815278,-30394.54572892567,-29622.35915710449,-30167.18853757668,-30181.90946520192,-30378.335027793877,-30414.363346007813,-30115.13100362978,-30156.511595261774,-30139.363428202814,-30165.60080118762,-30273.851588091344,-30477.043527845482,-30193.879767473787,-30081.996845849655,-29820.22117968976,-30313.49227861329,-30403.639293223867,-29966.015299747036,-29797.446850149365,-30441.461022425072,-30526.861822551946,-30470.078579157987,-29630.130973066814,-29756.278899582474
28,-30345.256208868224,-30390.49431474674,-29816.33637263241,-30335.251673380117,-29951.427751912524,-29750.5122815278,-30394.54572892567,-29964.311939496256,-30167.18853757668,-30181.90946520192,-30378.335027793877,-30414.363346007813,-30115.13100362978,-30156.511595261774,-30139.363428202814,-30165.60080118762,-30273.851588091344,-30477.043527845482,-30193.879767473787,-30081.996845849655,-29820.22117968976,-30313.49227861329,-30403.639293223867,-29966.015299747036,-29797.446850149365,-30441.461022425072,-30526.861822551946,-30470.078579157987,-29630.130973066814,-29756.278899582474
29,-30345.256208868224,-30395.599904677212,-29841.30601425819,-30335.251673380117,-30024.634977405993,-29759.131294641193,-30394.54572892567,-29964.311939496256,-30167.18853757668,-30181.90946520192,-30378.335027793877,-30475.441505649313,-30131.843221564704,-30399.899360688614,-30139.363428202814,-30165.60080118762,-30390.392889283088,-30477.043527845482,-30193.879767473787,-30081.996845849655,-29820.22117968976,-30313.49227861329,-30403.639293223867,-29967.8393377475,-29797.446850149365,-30441.461022425072,-30526.861822551946,-30470.078579157987,-29630.130973066814,-29756.278899582474
30,-30345.256208868224,-30479.12085717361,-29841.30601425819,-30335.251673380117,-30119.826155413997,-29759.131294641193,-30456.634177305343,-29964.311939496256,-30167.18853757668,-30181.90946520192,-30387.572718111493,-30475.441505649313,-30162.417406195702,-30399.899360688614,-30139.363428202814,-30165.60080118762,-30390.392889283088,-30477.043527845482,-30193.879767473787,-30081.996845849655,-29820.22117968976,-30313.49227861329,-30403.639293223867,-29967.8393377475,-29831.443509986064,-30441.461022425072,-30526.861822551946,-30470.078579157987,-29630.130973066814,-29842.318625933032
