,eso_F21_0,eso_F21_1,eso_F21_2,eso_F21_3,eso_F21_4,eso_F22_0,eso_F22_1,eso_F22_2,eso_F22_3,eso_F22_4,eso_F23_0,eso_F23_1,eso_F23_2,eso_F23_3,eso_F23_4,eso_F24_0,eso_F24_1,eso_F24_2,eso_F24_3,eso_F24_4,eso_F25_0,eso_F25_1,eso_F25_2,eso_F25_3,eso_F25_4,eso_F26_0,eso_F26_1,eso_F26_2,eso_F26_3,eso_F26_4,eso_F27_0,eso_F27_1,eso_F27_2,eso_F27_3,eso_F27_4,eso_F28_0,eso_F28_1,eso_F28_2,eso_F28_3,eso_F28_4
10,2682.2743361578414,2693.3434913067686,2645.087301783004,2712.469288581434,2701.6377432528857,5258.691508951228,8529.381596310663,6405.229363519826,10460.067372797863,8722.138232901192,3252.8439447004484,3248.787452487304,3137.6585573552193,3215.8475905908563,3334.196687066713,3388.7070205667405,3377.183111157745,3283.028582489239,3320.759904524113,3403.2231134114027,4522.472852379568,4237.702916171418,5201.457184097112,4198.318022688854,4408.528518785772,10841.264411818524,10008.567405144757,10309.913217725643,9162.992994441483,9264.557786337413,3814.3799872687587,3631.948788644369,3705.483321039347,3996.3514162801994,3538.464410659027,5934.79202563501,6140.543252815367,5680.737822241645,5813.854604529877,5074.31965585008
11,2660.366420230427,2649.037886355218,2645.087301783004,2712.469288581434,2667.905841370982,5071.169941189803,8529.381596310663,6228.350010190817,9026.53466570353,8634.515337204979,3235.072911518975,3248.787452487304,3137.6585573552193,3211.2553248382897,3334.196687066713,3388.7070205667405,3377.183111157745,3280.0762274471635,3295.684914107779,3336.7914151375967,4452.9207257752505,4193.405670986014,4971.032264961563,4177.6179844200815,4374.833775447921,10518.93417440329,10008.567405144757,9732.816787161742,9106.820955885229,9030.383450138495,3814.3799872687587,3631.5607916098998,3670.8492042103435,3978.074235580878,3533.5136474282267,5897.98577613091,6140.543252815367,5594.013775213265,5813.854604529877,5074.31965585008
12,2657.887856134541,2649.037886355218,2645.087301783004,2701.238870349972,2667.905841370982,5071.169941189803,8529.381596310663,6217.095770753922,8936.222002012519,8634.515337204979,3221.4994647632802,3248.787452487304,3115.3590932584466,3211.2553248382897,3305.9198197110036,3383.2547443457734,3363.3072716091656,3280.0762274471635,3294.858845631986,3308.0582248168985,4398.757252998189,4159.471380116263,4360.08246597797,4147.067926828778,4344.2813410719045,10518.93417440329,10008.567405144757,9732.816787161742,9106.820955885229,9030.383450138495,3814.3799872687587,3629.9089110566347,3661.4836818712383,3978.074235580878,3533.5136474282267,5893.882556077672,6140.543252815367,5594.013775213265,5617.4938935899745,5074.31965585008
13,2657.887856134541,2649.037886355218,2645.087301783004,2694.078709991584,2667.905841370982,5071.169941189803,8529.381596310663,6152.906968039099,7611.215437107327,8529.515016190835,3221.4994647632802,3248.787452487304,3110.4499965756595,3201.269435994327,3303.6255562553883,3327.8624736311217,3315.754381828747,3268.813788750419,3294.858845631986,3308.0582248168985,4363.20438112736,4090.6350481304353,4360.08246597797,4136.048101916205,4312.3578637327155,10507.895895719072,10008.567405144757,9546.459636232037,9106.820955885229,9030.383450138495,3814.3799872687587,3602.4197436178083,3569.6434133407374,3806.572205041399,3520.7066909289783,5893.882556077672,6140.543252815367,5432.539365589757,5601.6311444294515,5037.148403197837
14,2646.3292630810724,2649.037886355218,2643.929585998474,2673.3478750090526,2667.905841370982,5071.169941189803,8529.381596310663,5861.634211825841,7562.509689068869,8212.842494322455,3221.4994647632802,3248.787452487304,3110.4499965756595,3201.269435994327,3258.602558981785,3327.8624736311217,3261.1457475896777,3250.6526859470423,3294.858845631986,3303.657802302516,4270.406627944359,3936.6135224751797,4330.3219845856565,4134.779852848735,4282.971269578551,10507.895895719072,9296.149548809963,9004.948362913849,9103.27017515372,9030.383450138495,3637.426956844658,3574.6018450332276,3566.7305620056413,3806.572205041399,3492.23931509747,5657.467807114153,5979.247399519363,5161.206312909924,5587.577604587012,5020.798697516893
15,2619.2534315388543,2649.037886355218,2629.339757667069,2661.234626513185,2667.905841370982,5071.169941189803,8529.381596310663,5762.086984700912,7559.259834226763,7927.27358665224,3182.6831395464246,3227.3478990346453,3085.1343303612434,3201.269435994327,3256.863019066896,3327.8624736311217,3261.1457475896777,3170.788355272456,3294.858845631986,3303.657802302516,4096.010727650817,3829.1376179118433,4305.95562091708,4082.983689640488,3945.428554972392,10507.895895719072,9296.149548809963,9004.948362913849,9103.27017515372,9030.383450138495,3637.426956844658,3562.609547763425,3540.937397117239,3806.572205041399,3466.5195640369343,5429.575494925464,5928.8140520850275,5133.5882264293705,5440.024002183172,4781.703455619891
16,2619.2534315388543,2649.037886355218,2629.339757667069,2661.234626513185,2641.47416221423,5071.169941189803,8282.355690329223,5572.95272343987,7523.2254073024105,7838.676665188968,3182.0594260297994,3221.625366627618,3085.1343303612434,3201.269435994327,3194.0068574884963,3327.8624736311217,3252.5648738581153,3170.788355272456,3294.858845631986,3303.657802302516,3987.619256179969,3780.0234535214768,4305.95562091708,4073.758395622963,3945.428554972392,10507.895895719072,9296.149548809963,9004.948362913849,9103.27017515372,9030.383450138495,3637.426956844658,3562.609547763425,3518.7493700318573,3782.9689358487512,3445.2755149676177,5063.151771255296,5925.43697045119,5068.789395163421,5084.842380187792,4781.703455619891
17,2619.2534315388543,2649.037886355218,2629.339757667069,2661.234626513185,2637.6035560774394,5071.169941189803,7856.5996658804725,5318.826689115261,7322.146491834807,7569.532504225095,3136.3941909985656,3184.2484518756787,3085.1343303612434,3201.269435994327,3193.544366617947,3262.1115955112,3241.776091436528,3167.373965476022,3292.6192065315936,3303.352222094839,3956.5718635146286,3775.6143931598835,4305.95562091708,4053.5910250064708,3945.428554972392,10507.895895719072,9296.149548809963,9004.948362913849,9103.27017515372,9030.383450138495,3634.0164212798986,3562.609547763425,3495.219193005538,3782.9689358487512,3442.439651285057,4922.469279965694,5895.8839471338215,4858.959266516347,5062.656705479963,4781.703455619891
18,2619.2534315388543,2649.037886355218,2629.339757667069,2645.9595968608846,2637.455167208071,5071.169941189803,7494.315202776038,5182.6339151250995,6530.119734054385,7112.2827632651115,3136.3941909985656,3171.069852413854,3085.1343303612434,3201.269435994327,3069.490292656702,3261.960118190351,3204.4613141316354,3167.373965476022,3244.9832794837685,3273.1011514821785,3833.662612787053,3765.799521679888,4305.95562091708,4029.30386490785,3945.428554972392,10479.935472151246,9296.149548809963,9004.948362913849,9103.27017515372,9030.383450138495,3634.0164212798986,3542.1770319899165,3456.8862862212877,3696.3692370248828,3429.1547196951246,4791.174564819055,5702.255586339379,4858.959266516347,5058.875975888499,4781.703455619891
19,2619.2534315388543,2633.004534468636,2629.339757667069,2645.9595968608846,2637.455167208071,5071.169941189803,6797.271406087889,5013.140428497798,6322.895521489587,6484.991457577282,3136.3941909985656,3153.670611234116,3072.459399535429,3201.269435994327,3069.490292656702,3261.960118190351,3203.233566887897,3154.131558196047,3244.9832794837685,3256.7656353176353,3815.240863762121,3715.321453981544,4305.95562091708,3745.047425701883,3945.428554972392,10251.938028160712,9128.06413467954,9004.948362913849,8922.675356845484,9030.383450138495,3634.0164212798986,3542.1770319899165,3455.4561624945613,3655.9970683200145,3424.7143477794393,4781.596925806512,5623.218711844943,4858.959266516347,4946.132791983383,4781.703455619891
20,2619.2534315388543,2633.004534468636,2624.1251337159642,2645.9595968608846,2637.455167208071,5071.169941189803,6439.52661102039,4661.186613467436,5958.933469770176,6371.3746944683135,3136.3941909985656,3100.2999874215043,3070.6482107754746,3201.269435994327,3069.490292656702,3261.960118190351,3196.187454548166,3154.131558196047,3239.8870908224712,3226.716242921747,3781.2988564231578,3704.284735184667,4305.95562091708,3739.599176976675,3945.428554972392,9975.249058032912,8759.010090709116,9004.948362913849,8852.367890566933,9030.383450138495,3634.0164212798986,3524.9719406421946,3451.7838125675416,3650.5324190115707,3422.3951171361864,4758.9679542756385,5216.689328618382,4801.3590053385615,4789.978564660898,4781.703455619891
21,2616.046082315869,2630.4184977547425,2624.1251337159642,2645.9595968608846,2637.455167208071,5071.169941189803,6227.724752756985,4519.046913947509,5958.933469770176,6371.3746944683135,3039.572664467263,3100.2999874215043,3070.6482107754746,3201.269435994327,3069.490292656702,3261.960118190351,3196.187454548166,3154.131558196047,3239.8870908224712,3203.9900923836053,3732.2474644252725,3702.7304061644563,4305.95562091708,3739.599176976675,3898.0271827050256,9845.531169176717,8670.109973683491,9004.948362913849,8824.466376671282,9030.383450138495,3607.8764780827014,3524.9719406421946,3450.733540310416,3549.1016925390154,3396.4898079660807,4740.317633695542,5216.689328618382,4464.790076766827,4789.978564660898,4781.703455619891
22,2591.163028444603,2630.4184977547425,2604.6674268427696,2645.9595968608846,2637.455167208071,4952.732477501802,6227.724752756985,4384.7193907368355,5956.284388204546,6005.620266008746,3039.572664467263,3100.2999874215043,3050.528175815416,3199.3510657795678,3069.490292656702,3261.960118190351,3196.187454548166,3154.131558196047,3239.429969711959,3203.9900923836053,3724.6939059530914,3702.7304061644563,4305.95562091708,3739.599176976675,3852.667554421441,9478.064892652237,8557.694813266475,9004.948362913849,8503.760690205258,9030.383450138495,3598.8073215312647,3524.9719406421946,3442.276256024942,3508.2423570674705,3383.185888766239,4718.334869176785,5216.689328618382,4403.190141093677,4789.978564660898,4781.703455619891
